,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1477587600,11.46,11.36,11.43,16998.3,193177.55,11.36,multiply,BTC
1,1477591200,11.44,11.31,11.36,10624.29,120501.77,11.34,multiply,BTC
2,1477594800,11.45,11.36,11.34,9796.15,111790.73,11.41,multiply,BTC
3,1477598400,11.56,11.32,11.41,24739.8,283368.93,11.45,multiply,BTC
4,1477602000,11.48,11.4,11.45,12743.74,145585.45,11.42,multiply,BTC
5,1477605600,11.52,11.44,11.42,7875.27,90171.55,11.45,multiply,BTC
6,1477609200,11.47,11.39,11.44,12107.92,140103.91,11.45,direct,
7,1477612800,11.5,11.43,11.45,8302.65,95754.83,11.5,direct,
8,1477616400,11.52,11.44,11.5,6374.2,73530.1,11.48,direct,
9,1477620000,11.5,11.4,11.47,13073.93,149880.79,11.46,multiply,BTC
10,1477623600,11.6,11.48,11.47,3853.1,44526.24,11.6,direct,
11,1477627200,11.58,11.51,11.56,10726.44,123512.27,11.51,multiply,BTC
12,1477630800,11.58,11.36,11.54,12712.02,145879.24,11.38,direct,
13,1477634400,11.38,11.12,11.41,50630.06,569472.74,11.25,multiply,BTC
14,1477638000,11.26,11.09,11.25,45716.01,510570.57,11.17,multiply,BTC
15,1477641600,11.25,11.17,11.17,11865.59,133235.98,11.23,multiply,BTC
16,1477645200,11.25,11.15,11.23,14001.46,156431.66,11.17,multiply,BTC
17,1477648800,11.28,11.16,11.17,14137.07,158816.85,11.23,multiply,BTC
18,1477652400,11.35,11.23,11.23,14297.8,162175.79,11.34,multiply,BTC
19,1477656000,11.35,11.14,11.34,36186.58,407530.8,11.26,multiply,BTC
20,1477659600,11.35,11.21,11.28,7069.58,79761.25,11.21,direct,
21,1477663200,11.29,11.19,11.21,7958.23,89260.82,11.26,direct,
22,1477666800,11.33,11.18,11.18,24885.81,279838.66,11.24,multiply,BTC
23,1477670400,11.29,11.14,11.24,33137.51,371283.92,11.2,multiply,BTC
24,1477674000,11.24,11.08,11.2,49033.47,545511.2,11.13,multiply,BTC
25,1477677600,11.19,11.1,11.17,18006.25,200852.5,11.12,direct,
26,1477681200,11.17,11.02,11.12,15344.87,170337.05,11.04,direct,
27,1477684800,11.08,10.89,10.99,52283.5,577571.19,11.05,multiply,BTC
28,1477688400,11.1,10.94,11.05,24212.34,267938.75,11.07,multiply,BTC
29,1477692000,11.1,10.95,11.07,15237.14,167313.55,10.98,multiply,BTC
30,1477695600,11.13,11.0,11.02,8694.45,96671.77,11.1,direct,
31,1477699200,11.12,11.05,11.1,5555.61,61778.34,11.12,direct,
32,1477702800,11.13,11.1,11.12,7840.1,87810.94,11.11,direct,
33,1477706400,11.23,10.91,11.06,87343.48,957983.39,10.97,multiply,BTC
34,1477710000,11.27,11.0,10.97,44969.65,497799.98,11.07,multiply,BTC
35,1477713600,11.15,11.05,11.07,8347.72,92895.52,11.13,multiply,BTC
36,1477717200,11.12,10.99,11.13,18062.02,199467.47,11.04,multiply,BTC
37,1477720800,11.08,11.01,11.04,7034.69,77673.34,11.04,multiply,BTC
38,1477724400,11.08,11.02,11.04,6562.04,72408.2,11.03,multiply,BTC
39,1477728000,11.11,10.99,11.03,19001.98,208891.68,10.99,multiply,BTC
